time_s,gps_x,gps_y,est_x,est_y,heading_deg,cmd_robot
15.593,NaN,NaN,0.000,0.000,0.00,stop
15.643,NaN,NaN,0.000,0.000,0.00,stop
15.693,NaN,NaN,0.000,0.000,0.00,stop
15.743,NaN,NaN,0.000,0.000,0.00,stop
15.793,NaN,NaN,0.000,0.000,0.00,stop
15.843,NaN,NaN,0.000,0.000,0.00,stop
15.893,NaN,NaN,0.000,0.000,0.00,stop
15.943,NaN,NaN,0.000,0.000,0.00,stop
15.993,NaN,NaN,0.000,0.000,0.00,stop
16.043,NaN,NaN,0.000,0.000,0.00,stop
16.093,NaN,NaN,0.000,0.000,0.00,stop
16.143,NaN,NaN,0.000,0.000,0.00,stop
16.193,NaN,NaN,0.000,0.000,0.00,stop
16.243,NaN,NaN,0.000,0.000,0.00,stop
16.293,NaN,NaN,0.000,0.000,0.00,stop
16.343,NaN,NaN,0.000,0.000,0.00,stop
16.393,NaN,NaN,0.000,0.000,0.00,stop
16.443,NaN,NaN,0.000,0.000,0.00,stop
16.493,NaN,NaN,0.000,0.000,0.00,stop
16.543,NaN,NaN,0.000,0.000,0.00,stop
16.593,NaN,NaN,0.000,0.000,0.00,stop
16.643,NaN,NaN,0.000,0.000,0.00,stop
16.693,NaN,NaN,0.000,0.000,0.00,stop
16.743,NaN,NaN,0.000,0.000,0.00,stop
16.793,NaN,NaN,0.000,0.000,0.00,stop
16.843,NaN,NaN,0.000,0.000,0.00,stop
16.893,NaN,NaN,0.000,0.000,0.00,stop
16.943,NaN,NaN,0.000,0.000,0.00,stop
16.993,NaN,NaN,0.000,0.000,0.00,stop
17.043,NaN,NaN,0.000,0.000,0.00,stop
17.093,NaN,NaN,0.000,0.000,0.00,stop
17.143,NaN,NaN,0.000,0.000,0.00,stop
17.193,NaN,NaN,0.000,0.000,0.00,stop
17.243,NaN,NaN,0.000,0.000,0.00,stop
17.293,NaN,NaN,0.000,0.000,0.00,stop
17.343,NaN,NaN,0.000,0.000,0.00,stop
17.393,NaN,NaN,0.000,0.000,0.00,stop
17.443,NaN,NaN,0.000,0.000,0.00,stop
17.493,NaN,NaN,0.000,0.000,0.00,stop
17.543,NaN,NaN,0.000,0.000,0.00,stop
17.593,NaN,NaN,0.000,0.000,0.00,stop
17.643,NaN,NaN,0.000,0.000,0.00,stop
17.693,NaN,NaN,0.000,0.000,0.00,stop
17.743,NaN,NaN,0.000,0.000,0.00,stop
17.793,NaN,NaN,0.000,0.000,0.00,stop
17.843,NaN,NaN,0.000,0.000,0.00,stop
17.893,NaN,NaN,0.000,0.000,0.00,stop
17.943,NaN,NaN,0.000,0.000,0.00,stop
17.993,NaN,NaN,0.000,0.000,0.00,stop
18.043,NaN,NaN,0.000,0.000,0.00,stop
18.093,NaN,NaN,0.000,0.000,0.00,stop
18.143,NaN,NaN,0.000,0.000,0.00,stop
18.193,NaN,NaN,0.000,0.000,0.00,stop
18.243,NaN,NaN,0.000,0.000,0.00,stop
18.293,NaN,NaN,0.000,0.000,0.00,stop
18.343,NaN,NaN,0.000,0.000,0.00,stop
18.393,NaN,NaN,0.000,0.000,0.00,stop
18.443,NaN,NaN,0.000,0.000,0.00,stop
18.493,NaN,NaN,0.000,0.000,0.00,stop
18.543,NaN,NaN,0.000,0.000,0.00,stop
18.593,NaN,NaN,0.000,0.000,0.00,stop
18.643,NaN,NaN,0.000,0.000,0.00,stop
18.693,NaN,NaN,0.000,0.000,0.00,stop
18.743,NaN,NaN,0.000,0.000,0.00,stop
18.793,NaN,NaN,0.000,0.000,0.00,stop
18.843,NaN,NaN,0.000,0.000,0.00,stop
18.893,NaN,NaN,0.000,0.000,0.00,stop
18.943,NaN,NaN,0.000,0.000,0.00,stop
18.993,NaN,NaN,0.000,0.000,0.00,stop
19.043,NaN,NaN,0.000,0.000,0.00,stop
19.093,NaN,NaN,0.000,0.000,0.00,stop
19.143,NaN,NaN,0.000,0.000,0.00,stop
19.193,NaN,NaN,0.000,0.000,0.00,stop
19.243,NaN,NaN,0.000,0.000,0.00,stop
19.293,NaN,NaN,0.000,0.000,0.00,stop
19.343,NaN,NaN,0.000,0.000,0.00,stop
19.393,NaN,NaN,0.000,0.000,0.00,stop
19.443,NaN,NaN,0.000,0.000,0.00,stop
19.493,NaN,NaN,0.000,0.000,0.00,stop
19.543,NaN,NaN,0.000,0.000,0.00,stop
19.593,NaN,NaN,0.000,0.000,0.00,stop
19.643,NaN,NaN,0.000,0.000,0.00,stop
19.693,NaN,NaN,0.000,0.000,0.00,stop
19.743,NaN,NaN,0.000,0.000,0.00,stop
19.793,NaN,NaN,0.000,0.000,0.00,stop
19.843,NaN,NaN,0.000,0.000,0.00,stop
19.893,NaN,NaN,0.000,0.000,0.00,stop
19.943,NaN,NaN,0.000,0.000,0.00,stop
19.993,NaN,NaN,0.000,0.000,0.00,stop
20.043,NaN,NaN,0.000,0.000,0.00,stop
20.093,NaN,NaN,0.000,0.000,0.00,stop
20.143,NaN,NaN,0.000,0.000,0.00,stop
20.193,NaN,NaN,0.000,0.000,0.00,stop
20.243,NaN,NaN,0.000,0.000,0.00,stop
20.293,NaN,NaN,0.000,0.000,0.00,stop
20.343,NaN,NaN,0.000,0.000,0.00,stop
20.393,NaN,NaN,0.000,0.000,0.00,stop
20.443,NaN,NaN,0.000,0.000,0.00,stop
20.493,NaN,NaN,0.000,0.000,0.00,stop
20.543,NaN,NaN,0.000,0.000,0.00,stop
20.593,NaN,NaN,0.000,0.000,0.00,stop
20.643,NaN,NaN,0.000,0.000,0.00,stop
20.693,NaN,NaN,0.000,0.000,0.00,stop
20.743,NaN,NaN,0.000,0.000,0.00,stop
20.793,NaN,NaN,0.000,0.000,0.00,stop
20.843,NaN,NaN,0.000,0.000,0.00,stop
20.893,NaN,NaN,0.000,0.000,0.00,stop
20.943,NaN,NaN,0.000,0.000,0.00,stop
20.993,NaN,NaN,0.000,0.000,0.00,stop
21.043,NaN,NaN,0.000,0.000,0.00,stop
21.093,NaN,NaN,0.000,0.000,0.00,stop
21.143,NaN,NaN,0.000,0.000,0.00,stop
21.193,NaN,NaN,0.000,0.000,0.00,stop
21.243,NaN,NaN,0.000,0.000,0.00,stop
21.293,NaN,NaN,0.000,0.000,0.00,stop
21.343,NaN,NaN,0.000,0.000,0.00,stop
21.393,NaN,NaN,0.000,0.000,0.00,stop
21.443,NaN,NaN,0.000,0.000,0.00,stop
21.493,NaN,NaN,0.000,0.000,0.00,stop
21.543,NaN,NaN,0.000,0.000,0.00,stop
21.593,NaN,NaN,0.000,0.000,0.00,stop
21.643,NaN,NaN,0.000,0.000,0.00,stop
21.693,NaN,NaN,0.000,0.000,0.00,stop
21.743,NaN,NaN,0.000,0.000,0.00,stop
21.793,NaN,NaN,0.000,0.000,0.00,stop
21.843,NaN,NaN,0.000,0.000,0.00,stop
21.893,NaN,NaN,0.000,0.000,0.00,stop
21.943,NaN,NaN,0.000,0.000,0.00,stop
21.993,NaN,NaN,0.000,0.000,0.00,stop
22.043,NaN,NaN,0.000,0.000,0.00,stop
22.093,NaN,NaN,0.000,0.000,0.00,stop
22.143,NaN,NaN,0.000,0.000,0.00,stop
22.193,NaN,NaN,0.000,0.000,0.00,stop
22.243,NaN,NaN,0.000,0.000,0.00,stop
22.293,NaN,NaN,0.000,0.000,0.00,stop
22.343,NaN,NaN,0.000,0.000,0.00,stop
22.393,NaN,NaN,0.000,0.000,0.00,stop
22.443,NaN,NaN,0.000,0.000,0.00,stop
22.493,NaN,NaN,0.000,0.000,0.00,stop
22.543,NaN,NaN,0.000,0.000,0.00,stop
22.593,NaN,NaN,0.000,0.000,0.00,stop
22.643,NaN,NaN,0.000,0.000,0.00,stop
